#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
, acpi,
, alacritty,
, alacritty-themes,
, appimagelauncher,
, arch-audit,
, arch-install-scripts,
, archcraft-backgrounds,
, archcraft-config-geany,
, archcraft-config-qt,
, archcraft-dunst-icons,
, archcraft-fonts,
, archcraft-grub-theme,
, archcraft-gtk-theme-adapta,
, archcraft-gtk-theme-arc,
, archcraft-gtk-theme-blade,
, archcraft-gtk-theme-catppuccin,
, archcraft-gtk-theme-cyberpunk,
, archcraft-gtk-theme-dracula,
, archcraft-gtk-theme-easy,
, archcraft-gtk-theme-everforest,
, archcraft-gtk-theme-groot,
, archcraft-gtk-theme-gruvbox,
, archcraft-gtk-theme-hack,
, archcraft-gtk-theme-juno,
, archcraft-gtk-theme-kripton,
, archcraft-gtk-theme-manhattan,
, archcraft-gtk-theme-nordic,
, archcraft-gtk-theme-rick,
, archcraft-gtk-theme-sweet,
, archcraft-icons-hack,
, archcraft-icons-nordic,
, archcraft-mirrorlist,
, archcraft-openbox,
, archinstall,
, aria2,
, audacious,
, aspell,
, aspell-en,
, autoconf,
, automake,
, awesome-terminal-fonts,
, b43-fwcutter,
, backupmenu,
, base,
, base,
, base-devel,
, bashmount,
, bash-completion,
, bat,
, betterlockscreen,
, bind,
, bison,
, bleachbit,
, blueman,
, bluez,
, bluez-utils,
, brave-bin,
, brltty,
, broadcom-wl,
, btop,
, btrfs-progs,
, bzip2,
, clonezilla,
, chaotic-keyring,
, chaotic-mirrorlist,
, check-broken-packages-pacman-hook-git,
, checksec,
, ckbcomp,
, converseen,
, copyq,
, cpupower,
, crossover,
, cryptsetup,
, cylon,
, cython,
, darkhttpd,
, ddrescue,
, debtap,
, dhclient,
, dhcpcd,
, dialog,
, diffuse,
, diffutils,
, dmidecode,
, dmraid,
, dnsmasq,
, dosfstools,
, downgrade,
, downzemall,
, dunst,
, dxvk-bin,
, e2fsprogs,
, edk2-shell,
, efibootmgr,
, engrampa,
, ethtool,
, exa,
, exfat-utils,
, exfatprogs,
, exifcleaner-bin,
, expac,
, expressvpn,
, f2fs-tools,
, fail2ban,
, fakeroot,
, fastfetch,
, fatresize,
, fd,
, feh,
, ffmpeg,
, ffmpegthumbnailer,
, ffms2,
, ffnvcodec-headers,
, filelight,
, flex,
, florence,
, fotoxx,
, freetype2,
, fsarchiver,
, fsearch,
, fuse-overlayfs,
, fuse2fs,
, fuseiso,
, galculator,
, gallery-dl,
, gcc,
, geany,
, geany-plugins,
, ghostscript,
, git-delta,
, git-lfs,
, github-cli,
, gnome-disk-utility,
, gnome-keyring,
, gnu-netcat,
, go,
, gpart,
, gparted,
, gpm,
, gptfdisk,
, grml-iso,
, grml-rescueboot,
, grub,
, gruvbox-material-gtk-theme-git,
, gruvbox-material-icon-theme-git,
, gsfonts,
, gst-libav,
, gst-plugin-pipewire,
, gst-plugins-bad,
, gst-plugins-good,
, gst-plugins-ugly,
, gstreamer,
, gtk-engine-murrine,
, gtk3-nocsd-git,
, gutenprint,
, gufw,
, gvfs,
, gvfs-afc,
, gvfs-google,
, gvfs-gphoto2,
, gvfs-mtp,
, gvfs-nfs,
, gzip,
, handbrake,
, haveged,
, hdparm,
, hfsprogs,
, highlight,
, hw-probe,
, hyperv,
, i3lock-color,
, icu,
, inetutils,
, inkscape,
, inotify-tools,
, intel-gpu-tools,
, intel-media-driver,
, intel-ucode,
, inxi,
, irssi,
, iucode-tool,
, iw,
, iwd,
, jasper,
, java-openjdk-ea-bin,
, jdownloader2,
, jfsutils,
, jq,
, kitty-terminfo,
, kondo,
, kvantum,
, ksuperkey,
, less,
, lf,
, lftp,
, libavif,
, libde265,
, libdv,
, libfido2,
, libguestfs,
, libheif,
, libmpeg2,
, libplacebo,
, libtheora,
, libtool,
, libusb-compat,
, libva-intel-driver,
, libva-mesa-driver,
, libva-vdpau-driver,
, libvdpau-va-gl,
, libvpx,
, libwebp,
, libzip,
, light,
, linux,
, linux-atm,
, linux-firmware,
, linux-firmware-marvell,
, logrotate,
, losslesscut-bin,
, lostfiles,
, lrzip,
, lsb-release,
, lsd,
, lsscsi,
, lvm2,
, lynx,
, lz4,
, lzip,
, lzop,
, maim,
, make,
, man-db,
, man-pages,
, mdadm,
, mediainfo,
, megasync,
, mencoder,
, mesa,
, mesa-utils,
, mesa-vdpau,
, meson,
, micro,
, min,
, mkinitcpio,
, mkinitcpio-openswap,
, mkinitcpio-firmware,
, mkinitcpio-nfs-utils,
, modemmanager,
, mkvtoolnix-cli,
, mpc,
, mpv,
, mystiq,
, mplayer,
, mtools,
, nasm,
, nano,
, neovim,
, nbd,
, ncdu,
, ncmpcpp,
, ncurses,
, ncnn-git,
, ndisc6,
, neovim,
, nethogs,
, network-manager-applet,
, network-manager-sstp,
, networkmanager,
, networkmanager-dmenu-git,
, networkmanager-openconnect,
, networkmanager-openvpn,
, networkmanager-pptp,
, networkmanager-strongswan,
, networkmanager-vpnc,
, nfs-utils,
, nilfs-utils,
, ninja,
, nitrogen,
, nm-connection-editor,
, nmap,
, nordzy-icon-theme-git,
, noto-fonts,
, noto-fonts-cjk,
, noto-fonts-emoji,
, nsxiv,
, ntfs-3g,
, ntfs2btrfs-git,
, nvidia-settings,
, nvidia-utils,
, nvm,
, nvme-cli,
, obmenu-generator,
, ocs-url,
, octopi,
, oh-my-zsh-git,
, open-iscsi,
, open-vm-tools,
, openconnect,
, openssh,
, openvpn,
, os-prober,
, p7zip,
, pacui,
, pacutils,
, pahis,
, parrot-bin,
, partclone,
, parted,
, partimage,
, pastebinit,
, pastel,
, patch,
, pavucontrol,
, pcsclite,
, perl-linux-desktopfiles,
, picom,
, pkgconf,
, plank,
, plymouth,
, polkit,
, polybar,
, powerpill,
, powertop,
, ppp,
, pptpclient,
, pulsemixer,
, pv,
, python-pipenv,
, python-pywal,
, qemu-guest-agent,
, qemu-base,
, qt5ct,
, rclone,
, rclone-browser,
, refind,
, rofi,
, reflector,
, reflector-simple,
, reiserfsprogs,
, ripgrep,
, rmlint,
, rp-pppoe,
, rsync,
, rxvt-unicode-terminfo,
, sardi-ghost-flexible-colora-variations-icons-git,
, schroedinger,
, screen,
, sddm-git,
, sd,
, sdparm,
, sg3_utils,
, shellcheck,
, simplescreenrecorder,
, slop,
, smartmontools,
, sof-firmware,
, squashfs-tools,
, sublime-text-4,
, sudo,
, svp-bin,
, sxiv,
, stacer,
, syslinux,
, systemd-resolvconf,
, sysz,
, tcpdump,
, telegram-desktop,
, terminus-font,
, testdisk,
, thunar,
, thunar-archive-plugin,
, thunar-media-tags-plugin,
, thunar-volman,
, timeshift,
, tldr,
, tmux,
, toilet,
, topgrade,
, tpm2-tss,
, traceroute,
, ttf-font-awesome,
, ttf-hack,
, ttf-iosevka-nerd,
, ttf-jetbrains-mono,
, ttf-meslo-nerd-font-powerlevel10k,
, ttf-ms-fonts,
, ttf-nerd-fonts-symbols,
, ttf-nerd-fonts-symbols-common,
, ttf-nerd-fonts-symbols-mono,
, ttf-roboto,
, ttf-terminus-nerd,
, tumbler,
, udftools,
, udiskie,
, udisks2,
, ueberzug,
, unarchiver,
, unhide,
, unrar,
, unzip,
, upower,
, usb_modeswitch,
, usbmuxd,
, usbutils,
, util-linux,
, util-linux-libs,
, vapoursynth,
, vi,
, videomerge,
, viewnior,
, vim,
, vim-spell-en,
, virt-manager,
, virtualbox-guest-utils,
, vlc,
, volumeicon,
, vpnc,
, vulkan-extra-layers,
, vulkan-intel,
, vulkan-radeon,
, w3m,
, wezterm-terminfo,
, wget,
, wikiman,
, wireless-regdb,
, wireless_tools,
, wireplumber,
, wmctrl,
, wmname,
, wpa_supplicant,
, wvdial,
, x264,
, x265,
, xarchiver,
, xclip,
, xcolor,
, xcompmgr,
, xcursor-breeze,
, xdg-user-dirs,
, xdg-user-dirs-gtk,
, xdg-utils,
, xdotool,
, xfs_undelete-git,
, xfsdump,
, xf86-input-libinput,
, xf86-input-vmmouse,
, xf86-video-amdgpu,
, xf86-video-ati,
, xf86-video-fbdev,
, xf86-video-intel,
, xf86-video-nouveau,
, xf86-video-vesa,
, xf86-video-vmware,
, xfce-polkit,
, xfce4-power-manager,
, xfce4-settings,
, xfce4-terminal,
, xfsprogs,
, xl2tpd,
, xmlstarlet,
, xorg-bdftopcf,
, xorg-docs,
, xorg-font-util,
, xorg-fonts-100dpi,
, xorg-fonts-75dpi,
, xorg-fonts-encodings,
, xorg-iceauth,
, xorg-mkfontscale,
, xorg-server,
, xorg-server-common,
, xorg-server-devel,
, xorg-server-xephyr,
, xorg-server-xnest,
, xorg-server-xvfb,
, xorg-sessreg,
, xorg-setxkbmap,
, xorg-smproxy,
, xorg-x11perf,
, xorg-xauth,
, xorg-xbacklight,
, xorg-xcmsdb,
, xorg-xcursorgen,
, xorg-xdpyinfo,
, xorg-xdriinfo,
, xorg-xev,
, xorg-xgamma,
, xorg-xhost,
, xorg-xinit,
, xorg-xinput,
, xorg-xkbcomp,
, xorg-xkbevd,
, xorg-xkbutils,
, xorg-xkill,
, xorg-xlsatoms,
, xorg-xlsclients,
, xorg-xmodmap,
, xorg-xpr,
, xorg-xprop,
, xorg-xrandr,
, xorg-xrdb,
, xorg-xrefresh,
, xorg-xset,
, xorg-xsetroot,
, xorg-xvinfo,
, xorg-xwayland,
, xorg-xwd,
, xorg-xwininfo,
, xorg-xwud,
, xsettingsd,
, xterm,
, xvidcore,
, xz,
, yad,
, yasm,
, yay,
, yt-dlp,
, zathura,
, zip,
, zps,
, zramswap,
, zsh,
, zstd,
, acpi, ''
, alacritty, ''
, alacritty-themes, ''
, appimagelauncher, ''
, arch-audit, ''
, arch-install-scripts, ''
, archcraft-backgrounds, ''
, archcraft-config-geany, ''
, archcraft-config-qt, ''
, archcraft-dunst-icons, ''
, archcraft-fonts, ''
, archcraft-grub-theme, ''
, archcraft-gtk-theme-adapta, ''
, archcraft-gtk-theme-arc, ''
, archcraft-gtk-theme-blade, ''
, archcraft-gtk-theme-catppuccin, ''
, archcraft-gtk-theme-cyberpunk, ''
, archcraft-gtk-theme-dracula, ''
, archcraft-gtk-theme-easy, ''
, archcraft-gtk-theme-everforest, ''
, archcraft-gtk-theme-groot, ''
, archcraft-gtk-theme-gruvbox, ''
, archcraft-gtk-theme-hack, ''
, archcraft-gtk-theme-juno, ''
, archcraft-gtk-theme-kripton, ''
, archcraft-gtk-theme-manhattan, ''
, archcraft-gtk-theme-nordic, ''
, archcraft-gtk-theme-rick, ''
, archcraft-gtk-theme-sweet, ''
, archcraft-icons-hack, ''
, archcraft-icons-nordic, ''
, archcraft-mirrorlist, ''
, archcraft-openbox, ''
, archinstall, ''
, aria2, ''
, audacious, ''
, aspell, ''
, aspell-en, ''
, autoconf, ''
, automake, ''
, awesome-terminal-fonts, ''
, b43-fwcutter, ''
, backupmenu, ''
, base, ''
, base, ''
, base-devel, ''
, bashmount, ''
, bash-completion, ''
, bat, ''
, betterlockscreen, ''
, bind, ''
, bison, ''
, bleachbit, ''
, blueman, ''
, bluez, ''
, bluez-utils, ''
, brave-bin, ''
, brltty, ''
, broadcom-wl, ''
, btop, ''
, btrfs-progs, ''
, bzip2, ''
, clonezilla, ''
, chaotic-keyring, ''
, chaotic-mirrorlist, ''
, check-broken-packages-pacman-hook-git, ''
, checksec, ''
, ckbcomp, ''
, converseen, ''
, copyq, ''
, cpupower, ''
, crossover, ''
, cryptsetup, ''
, cylon, ''
, cython, ''
, darkhttpd, ''
, ddrescue, ''
, debtap, ''
, dhclient, ''
, dhcpcd, ''
, dialog, ''
, diffuse, ''
, diffutils, ''
, dmidecode, ''
, dmraid, ''
, dnsmasq, ''
, dosfstools, ''
, downgrade, ''
, downzemall, ''
, dunst, ''
, dxvk-bin, ''
, e2fsprogs, ''
, edk2-shell, ''
, efibootmgr, ''
, engrampa, ''
, ethtool, ''
, exa, ''
, exfat-utils, ''
, exfatprogs, ''
, exifcleaner-bin, ''
, expac, ''
, expressvpn, ''
, f2fs-tools, ''
, fail2ban, ''
, fakeroot, ''
, fastfetch, ''
, fatresize, ''
, fd, ''
, feh, ''
, ffmpeg, ''
, ffmpegthumbnailer, ''
, ffms2, ''
, ffnvcodec-headers, ''
, filelight, ''
, flex, ''
, florence, ''
, fotoxx, ''
, freetype2, ''
, fsarchiver, ''
, fsearch, ''
, fuse-overlayfs, ''
, fuse2fs, ''
, fuseiso, ''
, galculator, ''
, gallery-dl, ''
, gcc, ''
, geany, ''
, geany-plugins, ''
, ghostscript, ''
, git-delta, ''
, git-lfs, ''
, github-cli, ''
, gnome-disk-utility, ''
, gnome-keyring, ''
, gnu-netcat, ''
, go, ''
, gpart, ''
, gparted, ''
, gpm, ''
, gptfdisk, ''
, grml-iso, ''
, grml-rescueboot, ''
, grub, ''
, gruvbox-material-gtk-theme-git, ''
, gruvbox-material-icon-theme-git, ''
, gsfonts, ''
, gst-libav, ''
, gst-plugin-pipewire, ''
, gst-plugins-bad, ''
, gst-plugins-good, ''
, gst-plugins-ugly, ''
, gstreamer, ''
, gtk-engine-murrine, ''
, gtk3-nocsd-git, ''
, gutenprint, ''
, gufw, ''
, gvfs, ''
, gvfs-afc, ''
, gvfs-google, ''
, gvfs-gphoto2, ''
, gvfs-mtp, ''
, gvfs-nfs, ''
, gzip, ''
, handbrake, ''
, haveged, ''
, hdparm, ''
, hfsprogs, ''
, highlight, ''
, hw-probe, ''
, hyperv, ''
, i3lock-color, ''
, icu, ''
, inetutils, ''
, inkscape, ''
, inotify-tools, ''
, intel-gpu-tools, ''
, intel-media-driver, ''
, intel-ucode, ''
, inxi, ''
, irssi, ''
, iucode-tool, ''
, iw, ''
, iwd, ''
, jasper, ''
, java-openjdk-ea-bin, ''
, jdownloader2, ''
, jfsutils, ''
, jq, ''
, kitty-terminfo, ''
, kondo, ''
, kvantum, ''
, ksuperkey, ''
, less, ''
, lf, ''
, lftp, ''
, libavif, ''
, libde265, ''
, libdv, ''
, libfido2, ''
, libguestfs, ''
, libheif, ''
, libmpeg2, ''
, libplacebo, ''
, libtheora, ''
, libtool, ''
, libusb-compat, ''
, libva-intel-driver, ''
, libva-mesa-driver, ''
, libva-vdpau-driver, ''
, libvdpau-va-gl, ''
, libvpx, ''
, libwebp, ''
, libzip, ''
, light, ''
, linux, ''
, linux-atm, ''
, linux-firmware, ''
, linux-firmware-marvell, ''
, logrotate, ''
, losslesscut-bin, ''
, lostfiles, ''
, lrzip, ''
, lsb-release, ''
, lsd, ''
, lsscsi, ''
, lvm2, ''
, lynx, ''
, lz4, ''
, lzip, ''
, lzop, ''
, maim, ''
, make, ''
, man-db, ''
, man-pages, ''
, mdadm, ''
, mediainfo, ''
, megasync, ''
, mencoder, ''
, mesa, ''
, mesa-utils, ''
, mesa-vdpau, ''
, meson, ''
, micro, ''
, min, ''
, mkinitcpio, ''
, mkinitcpio-openswap, ''
, mkinitcpio-firmware, ''
, mkinitcpio-nfs-utils, ''
, modemmanager, ''
, mkvtoolnix-cli, ''
, mpc, ''
, mpv, ''
, mystiq, ''
, mplayer, ''
, mtools, ''
, nasm, ''
, nano, ''
, neovim, ''
, nbd, ''
, ncdu, ''
, ncmpcpp, ''
, ncurses, ''
, ncnn-git, ''
, ndisc6, ''
, neovim, ''
, nethogs, ''
, network-manager-applet, ''
, network-manager-sstp, ''
, networkmanager, ''
, networkmanager-dmenu-git, ''
, networkmanager-openconnect, ''
, networkmanager-openvpn, ''
, networkmanager-pptp, ''
, networkmanager-strongswan, ''
, networkmanager-vpnc, ''
, nfs-utils, ''
, nilfs-utils, ''
, ninja, ''
, nitrogen, ''
, nm-connection-editor, ''
, nmap, ''
, nordzy-icon-theme-git, ''
, noto-fonts, ''
, noto-fonts-cjk, ''
, noto-fonts-emoji, ''
, nsxiv, ''
, ntfs-3g, ''
, ntfs2btrfs-git, ''
, nvidia-settings, ''
, nvidia-utils, ''
, nvm, ''
, nvme-cli, ''
, obmenu-generator, ''
, ocs-url, ''
, octopi, ''
, oh-my-zsh-git, ''
, open-iscsi, ''
, open-vm-tools, ''
, openconnect, ''
, openssh, ''
, openvpn, ''
, os-prober, ''
, p7zip, ''
, pacui, ''
, pacutils, ''
, pahis, ''
, parrot-bin, ''
, partclone, ''
, parted, ''
, partimage, ''
, pastebinit, ''
, pastel, ''
, patch, ''
, pavucontrol, ''
, pcsclite, ''
, perl-linux-desktopfiles, ''
, picom, ''
, pkgconf, ''
, plank, ''
, plymouth, ''
, polkit, ''
, polybar, ''
, powerpill, ''
, powertop, ''
, ppp, ''
, pptpclient, ''
, pulsemixer, ''
, pv, ''
, python-pipenv, ''
, python-pywal, ''
, qemu-guest-agent, ''
, qemu-base, ''
, qt5ct, ''
, rclone, ''
, rclone-browser, ''
, refind, ''
, rofi, ''
, reflector, ''
, reflector-simple, ''
, reiserfsprogs, ''
, ripgrep, ''
, rmlint, ''
, rp-pppoe, ''
, rsync, ''
, rxvt-unicode-terminfo, ''
, sardi-ghost-flexible-colora-variations-icons-git, ''
, schroedinger, ''
, screen, ''
, sddm-git, ''
, sd, ''
, sdparm, ''
, sg3_utils, ''
, shellcheck, ''
, simplescreenrecorder, ''
, slop, ''
, smartmontools, ''
, sof-firmware, ''
, squashfs-tools, ''
, sublime-text-4, ''
, sudo, ''
, svp-bin, ''
, sxiv, ''
, stacer, ''
, syslinux, ''
, systemd-resolvconf, ''
, sysz, ''
, tcpdump, ''
, telegram-desktop, ''
, terminus-font, ''
, testdisk, ''
, thunar, ''
, thunar-archive-plugin, ''
, thunar-media-tags-plugin, ''
, thunar-volman, ''
, timeshift, ''
, tldr, ''
, tmux, ''
, toilet, ''
, topgrade, ''
, tpm2-tss, ''
, traceroute, ''
, ttf-font-awesome, ''
, ttf-hack, ''
, ttf-iosevka-nerd, ''
, ttf-jetbrains-mono, ''
, ttf-meslo-nerd-font-powerlevel10k, ''
, ttf-ms-fonts, ''
, ttf-nerd-fonts-symbols, ''
, ttf-nerd-fonts-symbols-common, ''
, ttf-nerd-fonts-symbols-mono, ''
, ttf-roboto, ''
, ttf-terminus-nerd, ''
, tumbler, ''
, udftools, ''
, udiskie, ''
, udisks2, ''
, ueberzug, ''
, unarchiver, ''
, unhide, ''
, unrar, ''
, unzip, ''
, upower, ''
, usb_modeswitch, ''
, usbmuxd, ''
, usbutils, ''
, util-linux, ''
, util-linux-libs, ''
, vapoursynth, ''
, vi, ''
, videomerge, ''
, viewnior, ''
, vim, ''
, vim-spell-en, ''
, virt-manager, ''
, virtualbox-guest-utils, ''
, vlc, ''
, volumeicon, ''
, vpnc, ''
, vulkan-extra-layers, ''
, vulkan-intel, ''
, vulkan-radeon, ''
, w3m, ''
, wezterm-terminfo, ''
, wget, ''
, wikiman, ''
, wireless-regdb, ''
, wireless_tools, ''
, wireplumber, ''
, wmctrl, ''
, wmname, ''
, wpa_supplicant, ''
, wvdial, ''
, x264, ''
, x265, ''
, xarchiver, ''
, xclip, ''
, xcolor, ''
, xcompmgr, ''
, xcursor-breeze, ''
, xdg-user-dirs, ''
, xdg-user-dirs-gtk, ''
, xdg-utils, ''
, xdotool, ''
, xfs_undelete-git, ''
, xfsdump, ''
, xf86-input-libinput, ''
, xf86-input-vmmouse, ''
, xf86-video-amdgpu, ''
, xf86-video-ati, ''
, xf86-video-fbdev, ''
, xf86-video-intel, ''
, xf86-video-nouveau, ''
, xf86-video-vesa, ''
, xf86-video-vmware, ''
, xfce-polkit, ''
, xfce4-power-manager, ''
, xfce4-settings, ''
, xfce4-terminal, ''
, xfsprogs, ''
, xl2tpd, ''
, xmlstarlet, ''
, xorg-bdftopcf, ''
, xorg-docs, ''
, xorg-font-util, ''
, xorg-fonts-100dpi, ''
, xorg-fonts-75dpi, ''
, xorg-fonts-encodings, ''
, xorg-iceauth, ''
, xorg-mkfontscale, ''
, xorg-server, ''
, xorg-server-common, ''
, xorg-server-devel, ''
, xorg-server-xephyr, ''
, xorg-server-xnest, ''
, xorg-server-xvfb, ''
, xorg-sessreg, ''
, xorg-setxkbmap, ''
, xorg-smproxy, ''
, xorg-x11perf, ''
, xorg-xauth, ''
, xorg-xbacklight, ''
, xorg-xcmsdb, ''
, xorg-xcursorgen, ''
, xorg-xdpyinfo, ''
, xorg-xdriinfo, ''
, xorg-xev, ''
, xorg-xgamma, ''
, xorg-xhost, ''
, xorg-xinit, ''
, xorg-xinput, ''
, xorg-xkbcomp, ''
, xorg-xkbevd, ''
, xorg-xkbutils, ''
, xorg-xkill, ''
, xorg-xlsatoms, ''
, xorg-xlsclients, ''
, xorg-xmodmap, ''
, xorg-xpr, ''
, xorg-xprop, ''
, xorg-xrandr, ''
, xorg-xrdb, ''
, xorg-xrefresh, ''
, xorg-xset, ''
, xorg-xsetroot, ''
, xorg-xvinfo, ''
, xorg-xwayland, ''
, xorg-xwd, ''
, xorg-xwininfo, ''
, xorg-xwud, ''
, xsettingsd, ''
, xterm, ''
, xvidcore, ''
, xz, ''
, yad, ''
, yasm, ''
, yay, ''
, yt-dlp, ''
, zathura, ''
, zip, ''
, zps, ''
, zramswap, ''
, zsh, ''
, zstd, ''
